0.07856  -nan  -nan
0.0958807  0.0447234  0.00113909
0.0959903  0.0452558  0.00115318
0.0960999  0.0457923  0.0011674
0.0962096  0.0463329  0.00118173
0.0963192  0.0468776  0.00119619
0.0964288  0.0474265  0.00121077
0.0965384  0.0479796  0.00122548
0.0966481  0.048537  0.00124031
0.0967577  0.0490986  0.00125527
0.0968673  0.0496646  0.00127036
0.0969769  0.0502349  0.00128558
0.0970866  0.0508096  0.00130094
0.0971962  0.0513887  0.00131643
0.0973058  0.0519723  0.00133205
0.0974154  0.0525603  0.0013478
0.0975251  0.0531529  0.0013637
0.0976347  0.0537501  0.00137973
0.0977443  0.0543519  0.0013959
0.0978539  0.0549583  0.00141222
0.0979636  0.0555694  0.00142868
0.0980732  0.0561852  0.00144528
0.0981828  0.0568058  0.00146203
0.0982924  0.0574312  0.00147892
0.0984021  0.0580615  0.00149597
0.0985117  0.0586966  0.00151316
0.0986213  0.0593367  0.00153051
0.0987309  0.0599817  0.00154801
0.0988406  0.0606318  0.00156567
0.0989502  0.061287  0.00158348
0.0990598  0.0619472  0.00160146
0.0991694  0.0626126  0.00161959
0.0992791  0.0632832  0.00163789
0.0993887  0.0639591  0.00165635
0.0994983  0.0646403  0.00167497
0.0996079  0.0653268  0.00169377
0.0997176  0.0660187  0.00171274
0.0998272  0.0667161  0.00173187
0.0999368  0.067419  0.00175118
0.100046  0.0681274  0.00177067
0.100156  0.0688414  0.00179033
0.100266  0.069561  0.00181018
0.100375  0.0702864  0.0018302
0.100485  0.0710176  0.00185041
0.100595  0.0717545  0.00187081
0.100704  0.0724973  0.0018914
0.100814  0.0732461  0.00191217
0.100923  0.0740008  0.00193314
0.101033  0.0747616  0.0019543
0.101143  0.0755285  0.00197566
0.101252  0.0763016  0.00199722
0.101362  0.0770808  0.00201899
0.101472  0.0778664  0.00204095
0.101581  0.0786583  0.00206313
0.101691  0.0794566  0.00208551
0.1018  0.0802614  0.00210811
0.10191  0.0810728  0.00213092
0.10202  0.0818907  0.00215395
0.102129  0.0827153  0.0021772
0.102239  0.0835467  0.00220067
0.102349  0.0843849  0.00222437
0.102458  0.0852299  0.0022483
0.102568  0.0860819  0.00227246
0.102677  0.086941  0.00229685
0.102787  0.0878071  0.00232148
0.102897  0.0886804  0.00234635
0.103006  0.0895609  0.00237147
0.103116  0.0904488  0.00239683
0.103226  0.0913441  0.00242244
0.103335  0.0922468  0.00244831
0.103445  0.0931571  0.00247443
0.103554  0.0940751  0.00250082
0.103664  0.0950008  0.00252746
0.103774  0.0959343  0.00255438
0.103883  0.0968756  0.00258156
0.103993  0.097825  0.00260902
0.104103  0.0987824  0.00263676
0.104212  0.099748  0.00266478
0.104322  0.100722  0.00269308
0.104431  0.101704  0.00272168
0.104541  0.102695  0.00275056
0.104651  0.103694  0.00277975
0.10476  0.104701  0.00280924
0.10487  0.105718  0.00283903
0.10498  0.106743  0.00286913
0.105089  0.107777  0.00289955
0.105199  0.10882  0.00293029
0.105308  0.109873  0.00296135
0.105418  0.110934  0.00299274
0.105528  0.112005  0.00302446
0.105637  0.113085  0.00305652
